Symbol,Company.Name,Sector,Industry
ENJ,NA,NA,NA
RESI,Altisource Residential Corporation,Financial,REIT - Residential
GHY,"Prudential Global Short Duration High Yield Fund, Inc.",NA,NA
USAC,"USA Compression Partners, LP",Basic Materials,Oil & Gas Equipment & Services
CVRR,"CVR Refining, LP",Basic Materials,Oil & Gas Refining & Marketing
XONE,The ExOne Company,Industrial Goods,Diversified Machinery
VTRB,NA,NA,NA
SSNI,"Silver Spring Networks, Inc.",Technology,Computer Based Systems
ENTA,"Enanta Pharmaceuticals, Inc.",Healthcare,Biotechnology
PF,Pinnacle Foods Inc.,Consumer Goods,Food - Major Diversified
DSL,DoubleLine Income Solutions Fund,NA,NA
AMBC,"Ambac Financial Group, Inc.",Financial,Surety & Title Insurance
BIOA,BioAmber Inc.,Basic Materials,Chemicals - Major Diversified
DFP,"Delphi Financial Group, Inc.",NA,NA
NYMTP,"New York Mortgage Trust, Inc.",NA,NA
COTY,Coty Inc.,Consumer Goods,Personal Products
MNK,Mallinckrodt Public Limited Company,Healthcare,Drugs - Generic
BLUE,"bluebird bio, Inc.",Healthcare,Biotechnology
PTCT,"PTC Therapeutics, Inc.",Healthcare,Biotechnology
GOGO,Gogo Inc.,Technology,Diversified Communication Services
AIY,NA,NA,NA
TRMR,"Tremor Video, Inc.",Technology,Application Software
FSFR,Fifth Street Senior Floating Rate Corp.,NA,NA
UCP,NA,NA,NA
DOC,Physicians Realty Trust,Financial,REIT - Healthcare Facilities
WHFBL,"WhiteHorse Finance, Inc.",NA,NA
GRAM,Graña y Montero S.A.A.,Services,Technical Services
CTRL,Control4 Corporation,Technology,Diversified Electronics
ASC,Ardmore Shipping Corporation,Services,Shipping
TPRE,Third Point Reinsurance Ltd.,Financial,Property & Casualty Insurance
ZBK,Zions Bancorporation,NA,NA
FMI,"Foundation Medicine, Inc.",Healthcare,Medical Laboratories & Research
PINC,"Premier, Inc.",Technology,Healthcare Information Services
RNG,"RingCentral, Inc.",Technology,Application Software
RMAX,"RE/MAX Holdings, Inc.",Financial,Property Management
ESRT,"Empire State Realty Trust, Inc.",Financial,REIT - Diversified
FTD,"FTD Companies, Inc.",Services,"Specialty Retail, Other"
VJET,Voxeljet AG,Technology,Computer Peripherals
WUBA,58.com Inc.,Technology,Internet Information Providers
WIX,Wix.com Ltd.,Technology,Internet Information Providers
GMZ,Goldman Sachs MLP Income Opportunities Fund,NA,NA
VLP,Valero Energy Partners LP,Basic Materials,Oil & Gas Pipelines
HLT,Hilton Worldwide Holdings Inc.,Services,Lodging
AMC,"AMC Entertainment Holdings, Inc.",Services,"Movie Production, Theaters"
SC,Santander Consumer USA Holdings Inc.,Financial,Mortgage Investment
VER.PF,NA,NA,NA
JMPC,JMP Group LLC,NA,NA
ATEN,"A10 Networks, Inc.",Technology,Communication Equipment
TSLX,NA,NA,NA
NORD,"Nord Anglia Education, Inc.",Services,Education & Training Services
TNET,"TriNet Group, Inc.",Services,Business Services
FPL,NA,NA,NA
JMLP,Nuveen All Cap Energy MLP Opportunities Fund,NA,NA
TWOU,"2U, Inc.",Technology,Application Software
HIVE,"Aerohive Networks, Inc.",Technology,Communication Equipment
SSWN,Seaspan Corporation,NA,NA
FSIC,NA,NA,NA
WB,Weibo Corporation,Technology,Internet Information Providers
SPWH,"Sportsman's Warehouse Holdings, Inc.",Consumer Goods,Sporting Goods
SB.PC,NA,NA,NA
GLOP,GasLog Partners LP,Services,Shipping
PBFX,PBF Logistics LP,Basic Materials,Oil & Gas Pipelines
ABRN,"Arbor Realty Trust, Inc.",NA,NA
GLADO,Gladstone Capital Corporation,NA,NA
CVEO,Civeo Corporation,Services,Business Services
VNOM,Viper Energy Partners LP,Basic Materials,Independent Oil & Gas
CCS,"Century Communities, Inc.",Industrial Goods,Residential Construction
INFO,IHS Markit Ltd.,Services,Business Services
FNFV,Fidelity National Financial Ventures,NA,NA
TSQ,"Townsquare Media, Inc.",Services,Broadcasting - Radio
OXLCN,NA,NA,NA
FCB,"FCB Financial Holdings, Inc.",Financial,Regional - Southeast Banks
GNBC,"Green Bancorp, Inc.",Financial,Money Center Banks
CALA,"Calithera Biosciences, Inc.",Healthcare,Biotechnology
ZAYO,"Zayo Group Holdings, Inc.",Technology,Networking & Communication Devices
SHLX,"Shell Midstream Partners, L.P.",Basic Materials,Oil & Gas Pipelines
LBRDK,Liberty Broadband Corporation,Services,Broadcasting - TV
SBLKL,Star Bulk Carriers Corp.,NA,NA
GAINO,Gladstone Investment Corporation,NA,NA
STOR,STORE Capital Corporation,NA,NA
NEFF,Neff Corporation,NA,NA
HIE,Miller/Howard High Income Equity Fund,NA,NA
KLXI,KLX Inc.,Industrial Goods,Aerospace/Defense Products & Services
PRSC,The Providence Service Corporation,Healthcare,Specialized Health Services
URBN,"Urban Outfitters, Inc.",Services,Apparel Stores
JNP,"Juniper Pharmaceuticals, Inc.",Healthcare,Drugs - Generic
RYAAY,Ryanair Holdings plc,NA,NA
TICC,TICC Capital Corp.,Financial,Closed-End Fund - Debt
PRGX,"PRGX Global, Inc.",Services,Business Services
AEGN,Aegion Corporation,Industrial Goods,Heavy Construction
BPFH,"Boston Private Financial Holdings, Inc.",Financial,Regional - Northeast Banks
GOV,Government Properties Income Trust,Financial,REIT - Office
CSQ,Calamos Strategic Total Return Fund,NA,NA
HDS,"HD Supply Holdings, Inc.",Services,Industrial Equipment Wholesale
NCTY,The9 Limited,Technology,Multimedia & Graphics Software
EZT,"Entergy Texas, Inc.",NA,NA
AJX,Great Ajax Corp,Financial,REIT - Diversified
RELY,"Real Industry, Inc.",Industrial Goods,Waste Management
ADRO,"Aduro BioTech, Inc.",Healthcare,Biotechnology
NYMTO,"New York Mortgage Trust, Inc.",NA,NA
AFSS,"AmTrust Financial Services, Inc.",NA,NA
TDOC,"Teladoc, Inc.",Technology,Healthcare Information Services
BUFF,"Blue Buffalo Pet Products, Inc.",Consumer Goods,Food - Major Diversified
PLNT,"Planet Fitness, Inc.",Services,Sporting Activities
GBLIZ,Global Indemnity Limited,NA,NA
SRCLP,"Stericycle, Inc.",NA,NA
GAME,NA,NA,NA
PFGC,Performance Food Group Company,NA,NA
NVCR,NovoCure Limited,NA,NA
SOJA,The Southern Company,NA,NA
SBBP,Strongbridge Biopharma plc,NA,NA
EXTN,Exterran Corporation,NA,NA
VYGR,"Voyager Therapeutics, Inc.",NA,NA
ACG,NA,NA,NA
MIME,Mimecast Limited,NA,NA
TCRZ,NA,NA,NA
MCX,Medley Capital Corporation,NA,NA
EDIT,"Editas Medicine, Inc.",NA,NA
LMHA,"Legg Mason, Inc.",NA,NA
UA,"Under Armour, Inc.",Consumer Goods,Textile - Apparel Clothing
BTU,Peabody Energy Corporation,Basic Materials,Industrial Metals & Minerals
